Keyword,Tweet,Sentiment
pfizer vaccine,People who have been infected by SARS-CoV-2 one dose of the Pfizer COVID vaccine elicits as strong of an immune response as two doses in people who haven’t been exposed. People who have been exposed to the virus should only require one vaccine dose. https://t.co/HFzstewDja,negative
pfizer vaccine,@thatt3slaguy What vaccine? Everyone I know who got Pfizer didn’t have any reaction but some who had Moderna did.,negative
pfizer vaccine,@NickPonticello 2 doses of the Pfizer vaccine for me. ?,positive
pfizer vaccine,Got the first dose of the Pfizer vaccine today! If I suddenly start extolling the virtues of Windows you'll know the conspiracy theories were true and Bill Gates has taken over my brain. #VaccinesWork,positive
pfizer vaccine,@lenikacruz Getting my second Pfizer vaccine tomorrow. The weight is slowly starting to lift. ???,negative
pfizer vaccine,‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine - https://t.co/fGNB4vDrUL,positive
pfizer vaccine,COVID-19 Vaccine Comparisons: Pfizer-BioNTech Moderna and Johnson & Johnson (Janssen)- Source: Sentara. https://t.co/MwmeFjBY3D,positive
pfizer vaccine,@MissJeanieKelly Well done gorgeous!! Hope you don’t get dude effects - I’ve had every vaccine under the sun but with the second Pfizer I was poorly.....very small sacrifice tho!! Xx,negative
pfizer vaccine,@Maria_Emmm Is it a Pfizer/Moderna vaccine or AZ?,negative
pfizer vaccine,@exposethecommie @kylegriffin1 Pfizer had nothing to do with Trump. Biden getting Merck to help produce Johnson and Johnson’s vaccine had nothing to do with trump.,negative
pfizer vaccine,Went in for my first dose of the Pfizer vaccine and was lucky enough to get the Johnson and Johnson one instead which means no second dose! I'm all vaccinated!,positive
pfizer vaccine,Tomorrow we are hosting a vaccination event on campus and a mega-event will be held on the campus of Missouri State Thursday and Friday. Both events require appointments:April 7 at Drury (Pfizer): https://t.co/QpitkK61RHApril 8-9 at MSU (J&J): https://t.co/3qJNGJl4hs,positive
pfizer vaccine,@JanetGay1406 @OurMindsNotURS Pfizer are not far from A/Z in clots. I smell a rat too . There are many others who say they are safe including the WHO . It still doesn’t take away 18 million & 7 clot deaths. No one is forced to take the vaccine. Don’t bloody have it then ! .,positive
pfizer vaccine,God bless all the health care professionals out there giving out vaccines. Just back from mom getting her first vaccine at the Wellness Centre.  Very efficient and well run.  #Pfizer #CovidVaccine #GetTheVaccine #greatful,positive
pfizer vaccine,As of 3pm there's still a ton of Pfizer vaccination appt eligibility at FEMA's Gary Indiana site for Thursday and Friday. Yes Illinois residents ARE eligible to get vaccinated there (Thanks federal rule). https://t.co/gX5nlzsftU,positive
pfizer vaccine,Can’t wait for round 3 of the Pfizer vaccine.,positive
pfizer vaccine,@maxinebutgay @pfizer @moderna_tx C’mon you know you want that hot vaccine on vaccine action,negative
pfizer vaccine,@realJackedTrump @kylegriffin1 Thanks to Pfizer (who developed the vaccine on their own) and Biden’s administration for actually having a plan to distribute vaccine effectively.,positive
pfizer vaccine,@Amy_Sober Your getting a vaccine is still a layer of protection for your kids. Soon I think we'll be able to get Pfizer for 12-16 year-olds and I think not too long after that (before school next year) I hope it will be available for younger kids.,positive
pfizer vaccine,32 Pfizer vaccine appointments available at New Braunfels H-E-B plus!Address: 2965 IH35 NORTH NEW BRAUNFELS TX 78130-4678 23 Moderna vaccine appointments available at Conroe Market H-E-BAddress: 3875 W.DAVIS ST. CONROE TX 77304-1837 Register at: https://t.co/KOiRgLNtqu,positive
pfizer vaccine,"I hope (but also don't hope) that the vaccine brands people get will have the same energy as pokemon go teams""Pfizer all the wayyy"" valor""Moderna is the best"" mystic*JJ sitting in the corner* instinct",negative
pfizer vaccine,@pfizer have you tested the #vaccine on #mentalhealth patients as far as bipolar autistic schizophrenic anxiety those who suffer w those issues .  what is the data!,negative
pfizer vaccine,Me s/p Pfizer COVID-19 vaccine 1 of 2: https://t.co/FiOW8ezqFo,positive
pfizer vaccine,@DaveisFrozen @Hummingbrrrd77 This might be in play as well — immunity isn’t instant: https://t.co/qd2jBnnoUk,negative
pfizer vaccine,@GovWhitmer Got round one of the Pfizer vaccine today! Monroe was on the ball with it!,positive
pfizer vaccine,@nicolemartintv The Halton vaccine drive is nothing short of AWESOME. We just had our Pfizer Moderna shot.It's so organized at the Oakville Hospital.Steady flow of people and no holdups.,negative
pfizer vaccine,@Stella4Menzies Because he could and Astra Zeneca is ok for us.  He always gets the best. It's quite obvious that Pfizer is the superior vaccine but it costs 4 times as much as Astra Zen and there is a reason for that. You pay for what you get.,negative
pfizer vaccine,COVID NORTHWEST UPDATE #covid #CovidPassport #tuesdayvibe #lockdown2021 #vaccine #Pfizer #lancsbusinessRT #Lancashire #Blackpool  #Burnley #Blackburn #Preston https://t.co/qCulHRXSwA,positive
pfizer vaccine,@FrostM69 @SenecaCollege @fordnation @celliottability @vincentkempp @SylviaJonesMPP Hello. Depending on vaccine supply we are administering Pfizer and Moderna at this time. Thanks.,negative
pfizer vaccine,UPDATE: @TCBPubHealth added by the start of the Summer Pfizer should have a vaccine safe for kids 12-15 to take & Gov. @tatereeves is confident the data will show positive results pushing him to accept doses giving the age group eligibility to schedule appointments. #FocusedOnYou,positive
pfizer vaccine,@csd My daughter is driving 70 miles for a Pfizer vaccine tomorrow.,positive
pfizer vaccine,Was finally able to get an extra Pfizer vaccine today and I’m so happy ? https://t.co/Xg0sRpE5Rj,negative
pfizer vaccine,‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine https://t.co/OCbDSLwwf3,positive
pfizer vaccine,I’m excited as I got my first shot today. For you conspiracy nuts the first govt locator injection. But on a good note the Pfizer vaccine is going good so far. I’ll know more as the day goes on. Just another step towards a regular life again.,positive
pfizer vaccine,"(01:17 PM) 48 of them between 04-07-2021 - 04-09-2021 when selecting ?""Providence Sonoma – Grace Pavilion Vaccine Clinic - Pfizer""1350 Bennett Valley Rd. Santa Rosa CA 95405?MyTurn is buggy! These may not be available!?",positive
pfizer vaccine,@DoctorLFC They also proved South Mumbai and South Delhi weather of -4°C is very conducive for the Pfizer vaccine and while they cannot mortgage airbases like Pfizer is demanding they are willing to sell a part of the area to Pfizer to get the vaccine,positive
pfizer vaccine,@truthfairy14 @serliamholman @MimiJ9 The Oxford Group did c fifty thousand clinical trials which is what's called the AZ vaccine now. I had two doses of the Pfizer vaccine but wouldn't hesitate to have the AZ one. I know many people who have had the AZ vaccine and they are fine.,negative
pfizer vaccine,Pfizer launches COVID vaccine trial for kids under 12:  https://t.co/jsLeLyfQ3Y  scaliger/iStockBy DR. TARUN JAIN and SONY SALZMAN ABC News(NEW YORK) -- Pfizer now joins Moderna in testing its vaccine in younger children.The company will enroll 4500 children in a trial that ...,negative
pfizer vaccine,i got my 2nd vaccine dose (pfizer) today so i’ll keep y’all updated here on my experience. so far it’s been about 3 hours and my arm is pretty sore,positive
pfizer vaccine,NOT a Thing would have Helped this Depised Federal Criminal TWICE IMPEACHED ONE TERM LOSER get ReElected.AMERICA WAS IS DONEWith Trumpism.‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine https://t.co/QuighzG01o,negative
pfizer vaccine,@connieinygk @EricTopol This refers to Pfizer and Moderna since the AZ vaccine hasn't been approved yet in the USA.,positive
pfizer vaccine,Pfizer vaccine first shot - zero side effects. I’ve been taking immunity building pills (Vitamin C D3 Zinc) for the past year. Maybe that’s helped.,positive
pfizer vaccine,@Vendryk Their vaccine is estimated to be generally as effective as others. The ones that have higher success rates like Pfizer were tested before we had new variants and also include 2 doses. The single Johnson and Johnson ones were tested in areas where the new variants were rampant.,negative
pfizer vaccine,Anybody in Chicago on the south side looking to get the Pfizer vaccine hit my dms,negative
pfizer vaccine,@PSilvertongue2 @MailOnline 100% correct EU playing political games using peoples lives like pawns. Europe is helping Pfizer & Moderna hold on to market share because if AstraZeneca (British Vaccine) is found to be the best those other -70deg  stored vaccines become less attractive. Its a smear campaign.,positive
pfizer vaccine,Hackers leaked altered #Pfizer data to sabotage trust in #vaccines https://t.co/SAHe5dprjJ #covid19 #vaccine #CyberSecurity,positive
pfizer vaccine,As far as WHICH vaccine Kaiser offers it totally depends. Recently they seem to be carrying Moderna. They just reported that they got the J&J in and I know people who have gone in the past and gotten Pfizer. Not sure it's possible to know ahead of time but you can try calling?,negative
pfizer vaccine,Second Pfizer vaccine (at Texas Motor Speedway) complete. @WeAreDCPH has things down! We were in and out in 28 minutes including the 15 minute wait after inoculation. (You never leave the car.)And despite so many people moving through everyone each time has been so kind. https://t.co/qqnokRgLF4,negative
pfizer vaccine,That first vaccine shot (pfizer) made me a little loopy and tired.,positive
pfizer vaccine,My parents told me to ensure Allen only gets the Pfizer vaccine that's the one thing they won't compromise on: we're a Pfizer family!,positive
pfizer vaccine,The latest results place the effectiveness of Moderna's ( $MRNA ) COVID vaccine on par with Pfizer's ( $PFE ).https://t.co/FHO0KF9XYf,positive
pfizer vaccine,New research suggests Moderna’s vaccine against COVID-19 offers protection for at least six months echoing findings from Pfizer last week.?  https://t.co/sJrW5bdOTF,positive
pfizer vaccine,No post-vaccine surveys are being conducted by COVID vaccine makers Pfizer Moderna or Johnson & Johnson the FBI says. https://t.co/rYeLVm2Hc4,positive
pfizer vaccine,@nilavinmagal Vaccines are approved for 16 yrs and above for Pfizer and 18 yrs and above for the others. So anyways you are not eligible and you don’t need vaccine ?????.,positive
pfizer vaccine,?I'm excited to be getting my #Pfizer vaccine next week! Thanks New Mexico and @GovMLG for making this happen!??On scientific matters we should trust science! If we all come together we can beat this damn virus!? #COVID?19 #coronavirus https://t.co/OmCCx7GIDc,positive
pfizer vaccine,"@Jerusalem_Post @MaarivOnline Sweet deal! Only cost $700 million and the US paid for it.In other ""freebies"" Israel gets $4 billion/year from US to bomb Syria and Gaza and stiffs Pfizer bill for vaccine that was given to Israe before the US. https://t.co/Kge1rC4MXs",positive
pfizer vaccine,@healthgovau @misskylie77 @mabeljessie From what continues to be a concern is the AstraZeneca vaccine. I am not a conspiracy person but I will happily wait for the Pfizer to become available probably 2022 by the way this rollout has fallen apart and let down so many Australians.,negative
pfizer vaccine,@CDCgov Not all @Walgreens stores r aware of guidelines: 21 days for pfizer 28 for moderna. Tried to get 2nd shot scheduled for 21 instead of 28 day set up for me&met resistance. I'm now on call list in case of no showhttps://t.co/OFcIOYHCVA,positive
pfizer vaccine,Just got the 2nd Pfizer vaccine. My arm ain't the only thing that's stiff,negative
pfizer vaccine,YOO I GOT AN APPOINTMENT TO GET THE COVID VACCINE!! PFIZER GANG,negative
pfizer vaccine,ik this is probably a stupid question but is there really any difference between moderna  Johnson and pfizer?? Does one work better than the other?? I’m gonna get my vaccine after work,negative
pfizer vaccine,Manufacturing moonshot: How Pfizer makes its millions of Covid-19 vaccine doses https://t.co/Ufd5CBpsbg #FauciHero https://t.co/5Tzdv5PxSt,negative
pfizer vaccine,Hear from @OntPharmacists on the need for prioritizing essential workers in #COVID19 vaccination and increased vaccine supply and variety in Ontario pharmacies. Link here: https://t.co/p7TsnbHS1d,positive
pfizer vaccine,Pfizer/BioNTech says its Covid-19 vaccine is 100% effective and well tolerated in adolescents https://t.co/yK6LBuMGa8 #FauciHero https://t.co/9e30OZBfHu,negative
pfizer vaccine,@csd I’m driving 18 miles for a Pfizer vaccine tomorrow. 36 miles total.,positive
pfizer vaccine,bad news everyone: the Pfizer vaccine does NOT turn you into an actual fox,negative
pfizer vaccine,@RepRichHudson Hudson is still hugging Trump's knees. Still spouting outright lies for his emperor who has no clothes.The truth is that Pfizer didn’t receive any funding from Operation Warp Speed for the development clinical trial and manufacturing of the vaccine.https://t.co/k7pn9AU78q,negative
pfizer vaccine,I got my first dose of the pfizer vaccine!!!!!! aaaaaaaa!!!!!!!,positive
pfizer vaccine,Moderna now joins Pfizer with data showing its vaccine provides protection - high level of antibodies - at least 6 months after the 2nd dose.  Virologist @SCOTTeHENSLEY commented today about the news...more on @6abc at 5pm.  @PennMedicine https://t.co/kXcBnAYStd,positive
pfizer vaccine,REGISTER TODAY: We will be offering the first round of Pfizer COVID-19 Vaccine doses free to students faculty and staff from 8 a.m.-8 p.m. 4/7 – 4/9. https://t.co/NrMzcJHF9e -  Appointments are required – use the link emailed to you Monday to secure the earliest time you can! https://t.co/XWHMChVioh,positive
pfizer vaccine,NEW: ‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine,positive
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)559 Fulton Street Brooklyn NY 11201(800) 925-4733https://t.co/dqXq1guj74,positive
pfizer vaccine,pfizer vaccine got me feeling like a white kid holding a dubiously purple bottle of sprite,positive
pfizer vaccine,We currently have a handful of @pfizer COVID vaccine on hand at the Abingdon Community Vaccination Center 611 Campus Drive Suite 200.First come first serve before 5:45 PM today. Age 16+.@AbingdonVAPD @VisitAbingdon @AppHighlands @WCLSC_Abingdon @AlertAbingdon,positive
pfizer vaccine,The @MichiganHHS distributed 37090 doses of #COVID19 vaccine to #OaklandCounty Health Division this week including 2340 Pfizer doses from @fema. @publichealthOC will administer the FEMA doses in Pontiac to residents who live in areas with a higher Social Vulnerability Index.,positive
pfizer vaccine,‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine https://t.co/iUfG6KQD8t,positive
pfizer vaccine,@PLJRM101 I Am back on the small Island of Hispanolia was on the Big Island of North America to get my 2nd Pfizer vaccine.,positive
pfizer vaccine,Bout to get this Pfizer vaccine... these lines kinda long though,negative
pfizer vaccine,@Heywood_Banks Glad I got the Pfizer vaccine this mor...I love a British accent.,positive
pfizer vaccine,I am +1 Pfizer vaccine and so very thankful ? @ Nova Scotia Health Authority Yarmouth Regional Hospital-ER https://t.co/W6DG0Iq1qN,negative
pfizer vaccine,“Money money moneyMust be funnyIn the rich man's worldMoney money moneyAlways sunnyIn the rich man's world”https://t.co/FN075jbFry#COVID19#vaccine#pfizer#moderna#johnsonandjohnson https://t.co/IB0U7VNvIt,positive
pfizer vaccine,‘It would help me in the election’: Pfizer CEO reveals his talks with Trump as US scrambled to develop a vaccine https://t.co/MRtoQEIfhk,positive
pfizer vaccine,The Indiana State Department of Health will host a vaccination clinic at the Center Lake Pavilion April 20-24 from 9:00 a.m. to 6:00 p.m. each day. The Pfizer vaccine will be used for this clinic. Registration is open now and available at https://t.co/uON10s3bY1. https://t.co/ZLkBCHVIiO,positive
covid singapore,Travel to Singapore during Covid-19: What you need to know before you go https://t.co/5lDj0cXpc6 #Photo #TravelDestination  #Photography #Vacation #TravelTips #Travel,negative
covid singapore,Carnival says not taking stance on mandatory COVID-19 vaccinations for travelers https://t.co/V2nvMkicJR  ? l don't understand l wrote for cruises since last year but why singapore copied it and the rest doesn't know about it ? @mikepompeo @MikeBloomberg @AmbCuiTiankai,positive
covid singapore,Hearing murmurings re privately provided COVID vaccines through a network of business people. You might need to go to Australia to get the jab but if interested/want me to pass your details on lmk. This sort of thing inevitable once Singapore UK et al open up w NZ left behind.,positive
covid singapore,Migrant workers everyday no-life in Singapore.-A year after the first Covid-19 outbreak in dorms how has life changed for migrant workers?https://t.co/CWKrEkEUWR,positive
covid singapore,A senior #Singaporean minister highlighted the #SikhCommunity’s contribution to all fields of life in #Singapore and appreciated their serving spirit by stepping forward to help others during the #Covid-19 peak as he opened the first-ever exhibition dedicated to #Sikh heritage,positive
covid singapore,Painstaking planning by PAPWhat did I do this deserve my good govt?Nothing. My life belongs to them.Pilot mass runs cycling events of up to 250 participants now allowed under new COVID-19 guidelineshttps://t.co/asrILVd8J0,positive
covid singapore,From 1 May 2021 passengers traveling to Singapore will be able to use IATA Travel Pass to share their pre-departure COVID-19 PCR test results upon check-in as well as on-arrival at Changi #TravelManagement https://t.co/PubdFVDo9z https://t.co/383UQOTUo3,positive
covid singapore,Covid-19: Singapore to become one of the first countries in the world to accept a mobile travel pass https://t.co/E5NdiqIxuR via @TheNationalNews,positive
covid singapore,Y’all this class i trained was from Singapore right. Why tf they got better covid restrictions. Like they have a liquor ban. A LIQUOR BAN. ???,positive
covid singapore,@RealizedYet @the_empty_one @MsMelChen I asked a Taiwanese local why the government here seems to attract better people than in the US and she said it’s because it pays better relative to the private sector. So that’s one similarity between Taiwan and Singapore. Extremely helpful in the age of COVID.,positive
covid singapore,Lorenzana and Antiporda both tested positive for COVID. Duterte was not able to give his Monday speech while Sara flew to Singapore. https://t.co/DJsXd5Vhse,positive
covid singapore,Singapore accepts IATA's Travel Pass for Covid-19 test result and (likely) vaccination status purposes.  https://t.co/Ar7vPPFu8f,positive
covid singapore,Pre Covid era was progressingPost Covid its promising.#keepitsimplesilly #keepsupporting #KeepLoving #KeepPartying #keepgrowing #KeepLearning #keeproaring #singapore @ Marina Bay Sands https://t.co/jLuJ3CiAlo,positive
covid singapore,Singapore to accept COVID-19 digital travel pass from next month https://t.co/FcBev1KIl6,positive
covid singapore,a mobile travel pass containing digital certificates for Covid-19 tests and vaccines https://t.co/mF33MiD1oo,positive
covid singapore,@tomicapacible ??????... Baka Positive sa Covid-19. Dun sa Singapore nagpapagamot kasi wala na raw mga vacancies ng mga hospital dito sa Manila. ??????,positive
covid singapore,World Economic Forum Global Technology Governance Summit - Salesforce YouTube and the Singapore Government seek COVID cloud silver linings https://t.co/SyIiI4JNtN via @diginomica https://t.co/yqGhXAakh5,positive
covid singapore,Singapore to accept COVID-19 digital travel Certificate from Mayhttps://t.co/zFPhSbRXCB,positive
covid singapore,https://t.co/BtRzUYyJiB????????????????????????????3?????????????????????????????,positive
covid singapore,Singapore residents aged under 45 can book COVID-19 vaccination slots from June: Janil - Yahoo News Singapore https://t.co/lTJpXvfPKR,positive
covid singapore,Singapore has used #blockchain technology to develop a global standard for verifying COVID-19 test results to speed up clearing local and foreign immigration checkpoints when travelling. #cryptocurrency #bitcoin #ethereum #digitalassets https://t.co/gOXYyCovCn,positive
covid singapore,There's always a silver lining to a cloud and COVID-19 has been a catalyst. @VivianBala on tech governance in debate with @benioff and @SusanWojcicki. Thought-provoking ideas for the Vaccine Economy. @salesforce @youtube #WEF  https://t.co/R0nR6SaEhR,positive
covid singapore,Altdos Claims to Steal 300000 Customers’ Data from Furniture Retailer Vhivehttps://t.co/jSXPRBhkLh#cybersec #infosec #cybersecurity #infosecurity #BigData #IoT #technology #data #privacy #COVID19 #COVID #coding #programming #singapore,positive
covid singapore,Could we all take note of the fact that there is no New Zealand variant or Singapore variant of Covid? It’s because mutations take place through reproduction. When you take a #COVIDzero stance you limit reproduction & therefore limit the potential for variants to evolve.,positive
covid singapore,@AP You mean SARS-CoV-2 vaxx not Covid-19 theories  right?Also why call it conspiracy?Each owns his or her own body and frankly in my view any govt that says that they didn't see this pandemic coming shud not call the shots; not just in U.S. but also here in Singapore.,negative
covid singapore,#Singapore to accept COVID-19 #digital #travel #pass.#HealthNewsNext2Me #BeforeYourTravel #DoctorNext2Me #HealthNews #HealthCare #MentalHealth #Health #Covid19 #Coronavirus #Turismo https://t.co/ROrhccL5KG,positive
covid singapore,streets saying du/30 has covid and he infected sa/ra that's why she's flying to singapore https://t.co/9p6VqbIG8Q,positive
covid singapore,@drewYong We'll be doing the FPDA engagements but not any basing stuff the UK's logistics needs around region already met by the British Defence Singapore Support Unit SG already has US LCS deployed there and pre Covid US port calls often so don't think that an issue,negative
covid singapore,Mr skullduggery ain’t changing now that he’s out of the employee mode.Speak your mind f an upgrade on refreshments plus there won’t be trips to Singapore due to covid. https://t.co/RtSIOmTnNL,negative
covid singapore,UPDATE: 24 new COVID cases in Singapore all imported for 3rd day straight https://t.co/vDr6cHxWcN https://t.co/wW1S365XLx,positive
covid singapore,@imAUDREYsaisip Asa Singapore daw probably one of his immediate relatives was covid-19 +. Kaya pala siguro walang Monday Tagayan si Kanor may family emergency.,positive
covid singapore,... aviation authorities have previously said that outbound travel for Filipinos citizens isn’t restricted as ridership has been way down eversince the COVID-19 pandemic began last year. (With reports from Antonio Colina IV)https://t.co/c2z4wRY941,negative
covid singapore,• Singapore registers 24 new COVID-19 infections — all imported; city-state's total now at 60519 with death toll at 30• Malaysia logs another 1300 new COVID-19 cases with 5 new fatalities; total recorded cases at 353329 as death toll hits 1300,positive
covid singapore,https://t.co/zwg8r4K8zR,positive
covid singapore,Rockwell Automation Employees in Malaysia and Singapore Demonstrate Extraordinary Efforts in the Face of #COVID-19: https://t.co/O3EBJSVc1c @ROKAutomation https://t.co/GBumKtYyVm,negative
covid singapore,???????????????SQ?????????????????.????????????????????????????????https://t.co/WaHM27do1mhttps://t.co/2EabQAQzmP,positive
covid singapore,$ESG Rockwell Automation Employees in Malaysia and Singapore Demonstrate Extraordinary Efforts in the Face of COVID-19 https://t.co/JSUKOBW1Kn,positive
covid singapore,@patchyplacing @RationalXi @RingoNbi @waweru @Watimz @ssojo81 Singapore of Africa ?Cleanest country in the world ?11.3% GDP growth ?Better healthcare than the US ?Built 20k classrooms during COVID lockdown ?Kagame got jokes,positive
covid singapore,https://t.co/SFv5F83yrI,positive
covid singapore,Explainer: What is the new ‘Eek’ Covid-19 mutation and will it stymie vaccination efforts? https://t.co/jd4zPUM6fF,positive
covid singapore,Singapore – Parliamentarians supported Singapore's US$20.57 million (S$27.7 million) contribution to the International Monetary Fund (IMF) initiatives to help the vulnerable and low-income countries cope with the Covid-19 pandemic.https://t.co/nEPsclgXEc https://t.co/qMeSadpNeW,positive
covid singapore,Explainer: What is the new ‘Eek’ Covid-19 mutation and will it stymie vaccination efforts? https://t.co/zdr0Uba81F https://t.co/o4LkfLVsTC,positive
covid singapore,??????????????????????????????????https://t.co/AevPqnvbsB????????????????????Telegram??? https://t.co/fpowKKWVa2  #8???? #8worldnews https://t.co/ZhfpV3UAbw,positive
covid singapore,Hong Kong prohibe la entrada a @SingaporeAir   por un caso #COVID19 https://t.co/8lB4wKrxET,positive
covid singapore,Singapore reported 24 #COVID19 cases on Apr 6.- 24 imported cases (10?? 9?? 3?? 1????)- 0 local caseTotal: 60519Discharged: 60239 (+25)Isolation facilities: 202 (-3)Hospitalized: 48 (+2)ICU: 1Deaths: 30https://t.co/1LlqSWxjjo https://t.co/DP6B8OMceW,positive
covid singapore,#Singapore’s two main #universities are making major changes to their #curricula and structures to encourage #interdisciplinarity and give #students the skills they need in the post-#Covid world.https://t.co/e9ijSH3eh1,negative
covid singapore,S’pore to contribute S$27.7m to IMF for low-income countries coping with Covid-19 MPs show support https://t.co/0bYRvCkbRA,negative
covid singapore,Hay Dairies turns down land awarded for new goat farm cites Covid-19 related higher building costs https://t.co/p8jP7mesXn https://t.co/9jjIwY3Y1b,positive
covid singapore,Bloomberg's latest Covid Resilience Ranking - fingers crossed for some Asia-Pac travel bubbles soon! 1 New Zealand2 Singapore3 Australia4 Taiwan6 S Korea7 China8 Japan9 ThailandFull Report Here: https://t.co/rX0jE21Se5 https://t.co/fMFIU9NT9A,positive
covid singapore,Vietnam Higher more Densely Populated than the UK 35 Covid Deaths ! Japan Near Double And as Densely populated as the UK 9229 Covid Deaths ! South Korea near the Population of the UK 1752 Covid deaths ! Singapore 30 Covid Deaths ! Thailand 95 Covid Deaths ! The UK Over 127000 !! https://t.co/KV6i4lxtdG,positive
covid singapore,Goat farm operator turns down land awarded for new farm citing Covid-19 related higher building costs https://t.co/DcxLA83TB0,positive
covid singapore,Goat farm operator turns down land awarded for new farm citing Covid-19 related higher building costs https://t.co/p8jP7mesXn https://t.co/sKZzUzmcD6,positive
covid singapore,Very excited the book cover of Spatializing Authoritarianism edited by Natalie Koch is released by Syracuse University Press. I have a chapter on the reproduction of one-party dominance in Singapore during the COVID pandemic. Forthcoming in spring 2022. https://t.co/256g76smc2 https://t.co/N93xtDXxt9,positive
covid singapore,Singapore to accept COVID-19 digital travel pass from next month https://t.co/0EJB1JKsDM,positive
covid singapore,Singapore To Accept COVID-19 Digital Travel Pass From Next Monthhttps://t.co/9pw3jL0Wjj#travel #travelbubble #COVID19 #IATATravelPass,positive
covid singapore,"@jm_glino @levy_wong @manilabulletin So bakit sinasabi na natin na bawal siya pumunta sa Singapore kung hindi pa natin alam ang gagawin nya dun? Anyone has the right to travel. Davao flattened its covid curve kaya hindi mo pwede sabihin na nasa ""pandemya"" tayo. Againbakit bawal kung di mo pa alam gagawin nya dun?",positive
covid singapore,Singapore to accept Covid-19 digital travel pass from next month https://t.co/PZvAsmjBi7,positive
covid singapore,@MarHenseng @augusto81981578 @StrandedOutJPN @MofaJapan_jp @konotaromp @sugawitter @JASSO_general @mextjapan Australia and NZ and Singapore don’t have Covid problems- but they have families and teachers and at least half of the regular student quota. Even business people. If you have a good system it is safe.,positive
covid singapore,Singapore residents aged under 45 can book COVID-19 vaccination slots from June: Janil - Yahoo News Singapore https://t.co/BcTXZ0pG0f,positive
covid singapore,About 1% of S'pore residents who turned up for Covid-19 vaccine rejected due to issues like allergies - The Straits Times https://t.co/tV4GldXrm5,positive
covid singapore,@Roberttimestwo @smc429 @Incatnito1 @drdrew In my travel to China Japan Singapore Costa Rica Colombia and other places all my vaccinations have been voluntary. However I think Covid should be mandatory for travel - unless you have a REAL medical reason. This is about protecting others and ourselves.,positive
