Keyword,Tweet,Sentiment
pfizer vaccine,@intrinsic_motiv @Glostermeteor @PoliticsForAlI @DailyMailUK Absolute nonsense https://t.co/AKuPFrV1C8,positive,
pfizer vaccine,@RH4N6 @halimshebaya the ministry is not selling vaccines. Pfizer vaccine in 2 doses costs around $19 a dose. the ministry to help speed up things for those who don't wish to wait allowed the private sector to import through it & sell @ a lower cost= it is partially subsidised for people at 12$,positive,
pfizer vaccine,@HBenzler @endthemadnessIN @CoronaAusschuss @AefAufklaerung @Michael_Ballweg @SHomburg @BjoernHoecke @querdenken711 @GrundrechteH @Nordkurier @nytimes Check your facts. He is wrong in most of the points. Example: bill gates and Pfizer execs did take vaccines. It is a vaccine since it creates antibodies. Point 31 is not an argument.,negative,
pfizer vaccine,@TobiasTobitobs @tim86979974 @bugwannostra your assumption that it is only made in the USA is incorrect. Pfizer-BioNTech vaccine is a joint production by US German and Chinese groups.,negative,
pfizer vaccine,Terrified and excited as hell to get my vaccine. Anyone had Pfizer exp? How did it go?,negative,
pfizer vaccine,Pfizer jab 'WILL protect against Brazilian and South African Covid' https://t.co/Qmwr2iRIAx,negative,
pfizer vaccine,@TinasheStanClub NOOO so scary! I have pfizer or whatever but also have asthma and have had bronchitis a few time growing up. Getting a little nervous about my second vaccine shot tomorrow,negative,
pfizer vaccine,A misleading article designed to push an anti vaccine and anti Pfizer view. It was the WHO who spoke of an endemic. Moreover no one knows how to end Covid-19. Pfizer does not know how. It will try to profit from it. Pfizer is a business.https://t.co/ANo0b7j8dv https://t.co/FlXktVqBQK,positive,
pfizer vaccine,.@Pfizer has halted shipments of the #coronavirus vaccination to Israel until the cabinet meets to approve agreements with the vaccine producer with the company expressing outrage at #Israel's failure to pay for a previous shipment of vaccines.https://t.co/ynELDbeCsW,positive,
pfizer vaccine,@Telegraph @mattlynnwriter Also notable is that the EU didn't ban the export of the 2m doses of Pfizer vaccines from a Belgium vaccine plant which arrived in Japan today.,negative,
pfizer vaccine,Pfizer and BioNTech COVID-19 vaccine is very effective for preventing contagion reports say https://t.co/2FpvH6BaQ2 #epidemiology #COVID19 #science https://t.co/oOWRFI9Qh2,positive,
pfizer vaccine,@djmambo @CDCgov Phase 3 trials on Pfizer vaccine show your good for 6months.,negative,
pfizer vaccine,@Randhomme59 @Mediavenir Justement dans mon entourage plusieurs personnes n'ont pas pu être vacciné avec Pfizer a cause de leur allergie chronique.,positive,
pfizer vaccine,Pfizer vaccine lagegi kya apne paas?,negative,
pfizer vaccine,@BelindaJones68 Don’t think we’ll get a choice if we want vaccine in #auspol WE aren’t the PM! I’d prefer Pfizer or Moderna but will settle for AstraZeneca anything that will help my body recognise & fight if I get covid helpful.,positive,
pfizer vaccine,@DBoop4 @Skel531 @PeterHotez @ashishkjha @POTUS That’s exactly why I was happy to find this in my research: ‘Moderna’s mRNA vaccine can be stored at 36 degrees to 46 degrees Fahrenheit for up to 30 days. It's also stable for 12 hours at room temperature.’ So not super cold like Pfizer requires. https://t.co/qUsFLaaPkB,positive,
pfizer vaccine,Once again the goal posts have shifted: Hunt now says 3 initial targets were met - to start the 1a Pfizer vaccinations in late February to commence the 1a AstraZeneca rollout in in early March and to begin the 1b program on 22 March. https://t.co/SmToSkNvte,positive,
pfizer vaccine,i had (1) dose of the pfizer vaccine and now i can't stop masturbating,positive,
pfizer vaccine,Vaccine appointments are available atCVS Pharmacy (Pfizer)2320 Ralph Avenue Brooklyn NY 11234https://t.co/uXJXxl8VRw,positive,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)4915 Flatlands Avenue Brooklyn NY 11234(800) 925-4733https://t.co/wA9dpDb4OH,positive,
pfizer vaccine,Nakakabobo yung comment section sa isang Facebook post na "Pfizer's COVID-19 vaccine protection lasts for at least six months."Todo atake sa comments yung mga baklang antivaxxers. Greater than or equal to not less than minimum ganon ang ibig sabihin nun mga dai. Chusko.,positive,
pfizer vaccine,@DIVIZIO1 Attention @Etienne_Chouard à ne pas relayer des infos sans vérifier avant : https://t.co/fAIQFrTVlz,positive,
pfizer vaccine,@getonthetweets The vaccine rollout is looking increasingly like a shitshow but these drips seem to be obsessed with Scomo getting the Pfizer vaccine and much less obsessed with Albo getting the same one.,positive,
pfizer vaccine,@c_lindner „Die Antikörperniveaus einiger Beschäftigter i Gesundheitswesen d mit Pfizer/ BioNTech-Impfstoff geimpft wurden sanken in weniger als drei Monaten nach Erhalt des zweiten Schusses stark wie eine Studie des größten Krankenhauses Israels ergab“ 🚨🚨🚨https://t.co/4AcnbyqLVD,positive,
pfizer vaccine,@PeterWMurphy1 Pfizer refuses to licence its intellectual property outside Europe and the U.S. "Pfizer is sticking with U.S. and Europe in producing its COVID-19 vaccine Comirnaty—at least until the pandemic supply phase is over the company said Thursday." https://t.co/QIh2ZY5Pbn @JoeABCNews,positive,
pfizer vaccine,All international world hospitals please check up to the everyone people and public corona positive and negative safety your mask distance please AstraZeneca covid 19 vaccine pfizer inject to the all World,positive,
pfizer vaccine,@501Awani I think its better to let najib lead the country because he is a very good guyeven though had  done some scandal but personally he never did  anything bad to the citizen and also he would have take drastic decision in covid situation to our country by buying the pfizer vaccine.,positive,
pfizer vaccine,@spectator Ha! But proud of the EU investment in BioNTech/ Pfizer vaccine which became the first and best......,positive,
pfizer vaccine,Shocking effects of Covid Vaccine in Israel. #israel #covid #Pfizer #deaths  https://t.co/Eety827x6d,positive,
pfizer vaccine,@svaradarajan @1amnerd @thewire_in #SputnikV is the best Covid Vaccine yet across the globe thats being manufactured in🇮🇳 by Dr Reddy's.Your piece don't even mention that. Pfizer has refused to conduct proper tests in India &  it is a synthetic mRNA type vaccine that has killed many people across why push it?!,positive,
pfizer vaccine,@JSAHolmes @Shared_facts @Monstercoyliar @markmcdougall13 @JRJHealey @harryetaylor @HungryFillbe @carlsmythe @BoastIra @AngeliFrankie @LilElectronBlue @BlainEillimatta @swedishchf @Double_O_Sebun @6x10E23 @KStateTurk @ghoppe @Chris_F_Carson @moravec_tomas @barryjohnreid21 @ale_battini @NateWeymouth @Nycweatherrepor @mcfunny @ds13_manon @bryanvilleneuve @CarolHakios @Jamie83107302 @CJBowden1 @Kathmarval @_DrCJM_ @And_NothingElse @hcornea @MonstaTofu @HouseOfGab @nyob7714 @ChrisJohnsonMD @lysandergrant @JaiKanta22 @Awithonelison @_mamadeb @irishman7771 @KayVonPaul @StopVaxxedLies @BeckyJohnson222 @Death_is_final @MacBaird13 @100Dianne @GeoffSchuler @peterre76976220 Lets take the Pfizer vaccine. At what point would you say it is no longer experimental? What would need to happen?,negative,
pfizer vaccine,@kymba_mack @Bababooie42 The LNP are too stingy to pay for the more expensive better Pfizer vaccine. @AlboMP #ScottyTheStingy #ScottytheQueueJumper #ScottyDoesNothing,positive,
pfizer vaccine,@PeterWMurphy1 1. "If the AUS Govt has the facilities..." Answer: It doesn't.2. Why doesn't Aus produce Pfizer Covid vaccine? Answer: Govt unwilling to pay for a licence to use Pfizer intellectual property. https://t.co/kWcPhT5l8A #auspol,positive,
pfizer vaccine,@DIVIZIO1 https://t.co/pBa46x56UZ   No a former Pfizer employee was not correct to say there is 'no need for vaccines',negative,
pfizer vaccine,@drjosie3 @mstewart999 @jvedmond @PeterWMurphy1 And apparently Covid doesn’t affect kids. But the drug companies are pushing to vaccinate 6 month olds. This is twisted. https://t.co/ZbdpiBITgn,positive,
pfizer vaccine,Side effect of pfizer vaccine #Firstday✅ Sore arm where I had the shot.✅ Mild headache.,negative,
pfizer vaccine,@piyushmittal @HunterJCullen Trump partnered with moderna on Jan 13 2020 to create a vaccine for a virus he downplayed called a hoax said was no big deal & In the end took the vaccine secretly. Pfizer was the 1st to market & had nothing to do with operation warp speed,positive,
pfizer vaccine,Vaccine appointments are available atWalgreens/Duane Reade (Pfizer)1551 Richmond Avenue Staten Island NY 10314(800) 925-4733https://t.co/n4GoR9f5A3,positive,
pfizer vaccine,@baseball2918578 @rsqk9s @DrJudyAMikovits @DrMadej @phmiraclelife When asked if he knew what brand of vaccine Moore received Gregory said he believes it was the one by Pfizer and BioNTech SE – but he was not entirely sure.Lmao love  lack of reseach and effort done from this BLOG from this blogger. How hard is it to do some investigating?,negative,
pfizer vaccine,Toivon että Katalin Karikósta yhdestä mRNA:n uranuurtajasta tullaan tekemän hyvä elämäkerta. Kvartaaliajattelulla tästäkään teknologiasta ei olisi tullut mitään. Vinkkejä mRNA teknologian historiaan?https://t.co/QnLCBRu9If,positive,
pfizer vaccine,@UrbaniteAlaska We are talking about the same people who think that flu shots hurt too much! I had a sore arm for one day for the flu shot and the same situation with the first dose of the Pfizer vaccine. No big deal for me and I am still alive and well.,positive,
pfizer vaccine,@LoveSexWithYouu Pfizer était trop occupé alors AstraZeneca m'a bien vacciné. J'attends la 2eme dose à moins qu'un cocktail des 3 soit possible 💉💉💉,positive,
pfizer vaccine,@newscomauHQ And are GPs being told not to tell us which vaccine is being given so that certain liberal electorates all get the better Pfizer vaccine?,negative,
pfizer vaccine,Dr. Mayank Amin @mayankgamin  draws the Pfizer coronavirus vaccine at a clinic in Collegeville Pennsylvania. Photo by Hannah Beier/ @Reuters Source: @CNN  @MDSAlliance As my son replied to this picture "Appropriate uniform!" https://t.co/woUiHpl1WP,negative,
pfizer vaccine,I had my two doses of the Pfizer vaccine experienced side effects after both doses but one in particular is intriguing me: I’m with a heightened sense of smell it’s like I’m a dog I can smell everything. WTF? Is that a thing? #covidvacccine #covidvaccinesideeffects,negative,
pfizer vaccine,@WonderfulHope19 I just saw your post can you please say why can’t you use the Pfizer vaccine while being immunocompromised?Thank you I’m immunocompromised too...,positive,
pfizer vaccine,@kurteichenwald After pfourteen days the Pfizer vaccine is in pfully pfunctional.,negative,
pfizer vaccine,@doug_chalk I believe Israel only gives the Pfizer BionTec vaccine. We're told we can "mix & match!"https://t.co/ZbaTnmOBdv,negative,
pfizer vaccine,@dracubina ppl say that pfizer doesn't have side effects but 1) i got pfizer and had side effects and 2) the vaccine is designed to trigger an immune response so of course it's gonna have side effects,negative,
pfizer vaccine,What are the ingredients of Pfizer’s covid-19 vaccine? – MIT Technology Review - https://t.co/fZPXdA1kLn,positive,
pfizer vaccine,What are the ingredients of Pfizer’s covid-19 vaccine? – MIT Technology Review - https://t.co/Kp5IGcnUip,positive,
pfizer vaccine,What are the ingredients of Pfizer’s covid-19 vaccine? – MIT Technology Review - https://t.co/gJsaL6IUZH,positive,
pfizer vaccine,What are the ingredients of Pfizer’s covid-19 vaccine? – MIT Technology Review - https://t.co/2Ng2OkVwWE,positive,
pfizer vaccine,@_joshyoung @RobynUrback Good that they ordered from Europe since Biden also stopped Moderna & Pfizer from sending vaccine to other countries... an 'America first' policy. CONs closed only 🇨🇦facility capable of producing vaccines. Trudeau has invested in building of lab that is almost ready to do this.,negative,
pfizer vaccine,It's quite stunning to read/see/hear so much COVID vaccine misinformation coming from all sides. For fuck's sake everybody please go to the CDC WHO Pfizer Moderna J&J etc websites and educate yourself with the free information.,positive,
pfizer vaccine,@venkat1962 @synchronise1857 @nuts2406 The temperature requirement for Pfizer has changed and it is possible to administer it in India now. https://t.co/vmaYnY1rrl,negative,
pfizer vaccine,Can’t sleep... so I did something good and scheduled my two doses of the Pfizer vaccine! I’m so excited!!!,negative,
pfizer vaccine,@kegill Saluti you can read it here: 1/ And... I'm back off the fence. One dose of Pfizer vaccine useless… https://t.co/5LmNnXkKNn Have a good day. 🤖,negative,
pfizer vaccine,@GovCanHealth Had the Pfizer vaccine this morning. So organized & efficient. Volunteers were wonderful. Thanks to all. Just a bit of a sore arm now at bedtime.,positive,
pfizer vaccine,@american2084 🙋🏻the first dose of the Pfizer vaccine. 2nd in 16 days.,positive,
pfizer vaccine,@BelindaJones68 I'm a Frontline Health care worker. I didn't have a choice  Have had 1 dose of AZ vaccine will not be fully vaccinated until mid June. However  I would have preferred Pfizer.,positive,
pfizer vaccine,@lifesafeast I’m up tomorrow in Vancouver either Pfizer or Moderna can’t wait. I never had flu  shots until my first grandchild was born Our daughter insisted that we get a flu shot and update all our shots. Only reaction I had to a vaccine was in 1996 for Hepatitis B before trip a to China,negative,
pfizer vaccine,@darbehoney My buddy was telling me that Pfizer is more of a "mind vaccine" whereas Moderna is more of a "body vaccine",negative,
pfizer vaccine,@westaustralian @LesStonehouse I would like the Pfizer vaccine like Scott Moronson had thanks.,negative,
pfizer vaccine,16+ vaccine appointments are open now in Douglas County! Those 16-18 years of age will need parental consent and a guardian present in order to get the Pfizer vaccine. Locations have Moderna Pfizer and Johnson & Johnson for those over the age of 18. https://t.co/HeC7kIiFxO https://t.co/SaSKKP5B5l,positive,
pfizer vaccine,@garrettisfresh You're the first person I know that experienced side effects with the Pfizer vaccine. All I hear about are Moderna experiences. I am awaiting my second Pfizer dose. No side effects from the first one so hopefully I'll be 2 for 2. Did you ever have covid?,negative,
pfizer vaccine,@SaudiMOH السلام عليكم ورحمة الله وبركاته Sir is Pfizer vaccine not allowed for expats as I am unable to register for it in Jeddah KAIA center whilst my Saudi colleagues can?,negative,
pfizer vaccine,Fuck when are plugs gonna start selling the vaccine like lemme get that Pfizer 🔥🔥🔥,negative,
pfizer vaccine,@Sadshegosimp https://t.co/fu7JG2wc2A,positive,
covid singapore,More data needed to assess if changes to border measures can be made for vaccinated travellers: Janil Puthucheary https://t.co/WwsAZBTE2d https://t.co/uz9aKuBpDX,positive,
covid singapore,Hong Kong enforced COVID-19 regulation 23 times to stop airlines from landing in the city including SIA flights - CNA: SINGAPORE: Hong Kong's government had enforced a COVID-19 border regulation 23 times to… https://t.co/2ygHnGuaWH #singapore #sinpaporenews #singaporeupdates https://t.co/KszBIxFVnT,positive,
covid singapore,US puts J&J in charge of plant that botched COVID-19 vaccine removes AstraZeneca - CNA: The United States has put Johnson and Johnson in charge of a plant that ruined 15 million doses of its COVID-19 vaccine… https://t.co/kpZFrEe28h #singapore #sinpaporenews #singaporeupdates https://t.co/idVE2UpH1k,positive,
covid singapore,https://t.co/RXq0y1dT1k,positive,
covid singapore,Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June https://t.co/ejPQ48ah1b,positive,
covid singapore,Next phase in #Singapore - Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from Junehttps://t.co/ycEf54n0J3,positive,
covid singapore,Singapore residents aged below 45 can book Covid-19 vaccination slots starting June https://t.co/1J3xtF4KKW https://t.co/NaBMFXp2yg,positive,
covid singapore,Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June CNA https://t.co/kk4fdL8oOT,positive,
covid singapore,Hong Kong bars incoming Singapore Airlines flights over Covid-19 case - CNBC https://t.co/rWnc9upe4j,positive,
covid singapore,Singapore Airlines passenger flights to Hong Kong suspended after COVID-19 testing 'trigger point' breached: CAAS - CNA https://t.co/6mXVjLcmwg,positive,
covid singapore,Singapore residents aged below 45 can make Covid-19 vaccination appointments from June - The Straits Times https://t.co/a7CXA1r5Wt,positive,
covid singapore,Parliament: About 1% of S'pore residents who turned up for Covid-19 jabs rejected due to issues like allergies Politics News & Top Stories - The Straits Times https://t.co/1XNDseSesa,positive,
covid singapore,A preliminary study highlights the impact of the COVID-19 #pandemic on OHCA incidence pre-hospital management and outcomes in #Singapore.By Dr. Shir Lynn Lim @Lim_ShirLynn et al.#COVID19 #cardiac_arrest More at https://t.co/h5ICWcv487 https://t.co/rLe1WlCCfq,positive,
covid singapore,Singapore Airlines’ trial of @IATA travel pass 'well-received' plans to integrate framework into app from mid-2021https://t.co/f1V2m2H3FO,positive,
covid singapore,Las conversaciones sobre el pasaporte Covid-19 son el primer paso para aprobar viajes sin cuarentena en Singapur.#Singapur #PasaporteCovidhttps://t.co/t7BN8DuXRL,positive,
covid singapore,Singapore seems to be going slowly with their vaccination program. Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June - CNA https://t.co/Yu1O2TXOlM,positive,
covid singapore,that's me!!! https://t.co/xNBnaUJV5Z,positive,
covid singapore,Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June https://t.co/PGO6OeN3W2 https://t.co/FsxbSWpIA4,positive,
covid singapore,Government plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June https://t.co/kQHhUkysPq https://t.co/8ZqP4BYYff,positive,
covid singapore,Singapore residents aged below 45 can make Covid-19 vaccination appointments from June: April 05 2021 1:54 PMAbout half or close to 500000 of residents aged 45 to 59 have registered so far. https://t.co/LIUAJtKj7Y #worldnews #lastminiteupdates #news https://t.co/rB0oqlY8Mz,positive,
covid singapore,https://t.co/WCpHfpYiuk,positive,
covid singapore,Hong Kong bans Singapore Airlines after Covid case on board https://t.co/SInWjqd5OA,positive,
covid singapore,SIA's trial of IATA travel pass 'well-received' plans to integrate framework into app from mid-2021 https://t.co/057nZU4VAn https://t.co/0SlgSkcR1N,positive,
covid singapore,As #COVID19 workplace measures ease in #Singapore here's how #Mastercard plans to prioritize staff's safety and continued flexibility in regards to #RTO / #WFH https://t.co/zZwYPQTS0Y @ChannelNewsAsia @SeeKitCNA https://t.co/ToC3i0sTPH,positive,
covid singapore,⁦@govsingapore⁩ plans to begin inviting people below the age of 45 to book COVID-19 vaccination slots from June. Solid progress in an efficiently managed nationwide program. #singapore #vaccine https://t.co/9ou03T4Ckc,positive,
covid singapore,June is... a long time away. 😒https://t.co/AYeWycI7Vn,positive,
covid singapore,🇸🇬 vaccination as of Apr 3.- 1st dose: 1052000 (18.46% pop)- Completed regimen: 468000 (8.21% pop)The vaccination pace has slightly slowed down in the past 2 weeks. The slots are filled up though so it's more of limited supply problem now.https://t.co/uIhOZc5Vyn https://t.co/AXhGtMSTBQ,positive,
covid singapore,Singapore residents aged below 45 can make Covid-19 vaccination appointments from June Singapore News & Top Stories - The Straits Times https://t.co/OSYRxgLLJR,positive,
covid singapore,About 1 per cent of S'pore residents who turned up for Covid-19 vaccinations rejected due to issues like allergies https://t.co/GNQOKJV7CM,positive,
covid singapore,https://t.co/6biPtaKPUf #BBCBreakfast#Singapore #COVID19 surely this matter has more to do with banks over exposing themselves and singapore auditors not doing their job properly?? it was preventable ! hence all 3 groups should be prosecuted. covid a red herring.,positive,
covid singapore,Singapore residents aged below 45 can make Covid-19 vaccination appointments from June - The Straits Timeshttps://t.co/7r5rAyGvt4#NEWS SIN,positive,
covid singapore,Singapore residents aged below 45 can make Covid-19 vaccination appointments from June https://t.co/KGUyylpl15,positive,
covid singapore,@rajah_mich Singapore also has pretty much zero covid like Aus with almost all cases the last few months from hotel quarantine. They are given Pfizer/Moderna. Surely a govt should offer the best vaccines? No such thing as ‘not urgent here so we don’t need Pfizer’. 🤷🏻‍♀️,positive,
covid singapore,Those under 45 --- your chance to get vaccinated may be around June 😛https://t.co/gVrBFYnxSz,positive,
covid singapore,https://t.co/Xxq0XnoWxe,positive,
covid singapore,Finally! https://t.co/MU8ekQ19Uu,positive,
covid singapore,Singapore residents aged below 45 will be invited to book Covid-19 vaccination appointments from June https://t.co/SPDUiZSd6l,positive,
covid singapore,Singapore residents aged below 45 will be invited to book Covid-19 vaccination appointments from June https://t.co/soqjvGEGJy,positive,
covid singapore,Those aged below 45 will be invited to book their slots for Covid-19 vaccine appointments from June if all goes as planned said Senior Minister of State for Health Janil Puthucheary on Monday (April 5).https://t.co/EKDoatZT3R,positive,
covid singapore,OCBC CEO Samuel Tsien's pay falls 22.5% to $8.6m in 2020DBS CEO's pay falls 24% to $9.2m as Covid-19 bitesUOB CEO’s 2020 Compensation Shrinks 9% to S$9.8 Million #singapore #banks,positive,
covid singapore,Singapore residents aged below 45 will be invited to book Covid-19 vaccination appointments from June – The Straits Times https://t.co/dXcsR6mAJJ,positive,
covid singapore,Singapore residents aged below 45 will be invited to book Covid-19 vaccination appointments from June https://t.co/2eXdTMWWYH,positive,
covid singapore,stop making work from office happen singpapore https://t.co/4cpYXwCJDs,negative,
covid singapore,Singapore joins Interpol-led global financial crime task force into a number of areas including COVID-19 vaccine scams.https://t.co/XW6YzFWZtr,positive,
covid singapore,@josh_ko_naman Words matter. He said "Our 10 million vaccines went to Singapore" -- sounds like SG robin hooded the 🇵🇭  when in actual fact a lot of hard leg & brain work by the @govsingapore @sporeMOH to secure covid vaccines for its people.That said: https://t.co/hurZN35jaf,positive,
covid singapore,Hong Kong prohibe a la compañía aérea Singapore Airlines operar vuelos debido a nuevos brotes en el país 👇🏼(+info):  ⏬ https://t.co/07fyU3HxfV,positive,
covid singapore,"In Malaysia the popular COVID-19 tagline is “Kita Jaga Kita” (we take care of each other) while in Singapore it is “Together we can overcome!”. The “we” should include migrant workers." - A Reporting ASEAN feature by Philip Golingai. Also in Burmese.https://t.co/hHZEONcEoi,positive,
covid singapore,Johor state government will roll out a Covid-19 vaccination app aimed at Malaysians who commute between Malaysia and Singapore for a start 100000 people.,positive,
covid singapore,SIA's trial of IATA travel pass 'well-received' plans to integrate framework into app from mid-2021 - CNA https://t.co/H0VhYeCCcP,positive,
covid singapore,@cheez_miss https://t.co/vVzPgF9jkG,positive,
covid singapore,@lkrdiaz Our country has delayed the 2nd covid spike by 3 months has had a below average COVID death rate and we even outperformed Malaysia Singapore Indonesia in fighting COVID. We boast a 6 covid case per capita compared to singapore indonesia and malaysia’s 7-12 cases per capita,positive,
covid singapore,@JSManaloMP https://t.co/vVzPgF9jkG,positive,
covid singapore,@b0malabs https://t.co/vVzPgF9jkG,positive,
covid singapore,@josh_ko_naman Sighs. Always need a bad guy right?https://t.co/vVzPgF9jkG https://t.co/bpupJmxK9e,negative,
covid singapore,Singapore joining #Interpol-led global #FinancialCrime task force looking into COVID-19 vaccine scams#US #UK #IrelandLetsTalkCity #Finance #Covid19_vaccine#Singapore #SoutheastAsia https://t.co/4ZDnSfy9kEVia https://t.co/jY6cW60BxL https://t.co/JXMmtErm00,positive,
covid singapore,Singapore joining #Interpol-led global #FinancialCrime task force looking into COVID-19 vaccine scamsLetsTalkCity #Finance #Covid19_vaccine#Singapore #SoutheastAsia https://t.co/YZTViDkHwQVia https://t.co/Mi5Fek52MI https://t.co/8k4H6n6nFY,positive,
